lng,lat
-73.97467,40.786602
-74.004059,40.720985
-73.982124,40.77459
-73.997391,40.721142
-73.98085,40.760414
-73.991814,40.749928
-73.978775,40.783291
-73.996521,40.748138
-73.980782,40.745804
-73.971603,40.762775
-73.980019,40.749073
-73.999855,40.748444
-73.991699,40.749985
-73.984573,40.728676
-73.983261,40.676949
-73.970856,40.764481
-73.977745,40.754704
-74.01104,40.715
-73.992691,40.768517
-73.971245,40.764175
-74.008133,40.721855
-73.989059,40.758839
-73.975075,40.756256
-73.988884,40.74847
-74.007088,40.726254
-73.984482,40.730389
-73.991585,40.757915
-73.978508,40.736938
-73.977074,40.726368
-73.976753,40.743656
-73.993103,40.736992
-73.990593,40.734818
-73.985596,40.740971
-74.001549,40.7458
-73.965675,40.771881
-73.955933,40.768776
-73.975624,40.752144
-73.998634,40.750664
-73.99128,40.750412
-73.975578,40.756611
-73.992035,40.753716
-73.992287,40.736851
-73.986717,40.761822
-73.973923,40.758621
-74.003273,40.754082
-73.862656,40.768921
-73.979668,40.756485
-73.975349,40.760822
-74.005737,40.710667
-73.991013,40.730045
-74.003296,40.706356
-73.981003,40.767757
-73.981216,40.759464
-74.006477,40.749634
-74.003822,40.707775
-73.973549,40.763168
-73.9869,40.725304
-73.986763,40.75502
-73.969955,40.799675
-73.980247,40.745811
-73.937088,40.797668
-73.957993,40.773312
-73.993004,40.747631
-73.957863,40.776348
-73.980797,40.78487
-73.98645,40.766827
-73.952812,40.768082
-73.98468,40.759338
-73.99099,40.750465
-73.970276,40.765007
-73.975136,40.752472
-73.863274,40.769398
-73.995567,40.749161
-73.959961,40.775543
-73.983902,40.74905
-73.997269,40.736633
-73.870926,40.773685
-73.971893,40.763203
-73.973885,40.754448
-73.918945,40.758961
-73.967033,40.772598
-73.961517,40.777088
-73.981705,40.774437
-73.953178,40.822891
-73.966469,40.794308
-73.956429,40.784149
-73.986084,40.746098
-73.974014,40.751717
0,0
-73.95462,40.764961
-74.013199,40.709618
-73.979225,40.781902
-73.959923,40.762215
-73.997437,40.720699
-73.994576,40.734898
-73.982269,40.771141
-73.991226,40.749748
-73.968597,40.764637
-73.99382,40.73621
-73.980469,40.759785
-73.944443,40.779598
-73.972145,40.756603
-73.968864,40.786053
-74.004997,40.748062
-73.970451,40.788864
-73.975311,40.751717
-73.954529,40.787323
-73.99157,40.749676
-73.962593,40.810055
-73.973549,40.752167
-73.961922,40.755573
-73.980675,40.764637
-73.981216,40.75037
-73.986603,40.725937
-73.964752,40.765652
-74.007614,40.742882
-73.970749,40.758247
-73.991974,40.7425
-73.967896,40.765495
-73.967583,40.769081
-73.983772,40.757816
-74.01445,40.714031
-74.006134,40.73653
-73.977806,40.729721
-73.988197,40.764351
-73.993134,40.752392
-73.950653,40.779327
-73.970619,40.767452
-73.961243,40.761814
-74.010048,40.720615
-73.96656,40.773235
-73.953911,40.779003
-73.976929,40.755909
-73.973755,40.762932
-73.98597,40.775391
-73.983078,40.744686
-73.95961,40.779766
-74.005325,40.72884
-73.982056,40.770397
-73.987526,40.744083
-73.99025,40.751648
-73.962708,40.766911
-73.991684,40.749668
-73.99984,40.732922
-73.952057,40.784611
-73.976715,40.765896
-73.996933,40.767357
-73.992607,40.750164
-73.940979,40.839603
-73.982498,40.760181
-73.952835,40.776207
-73.947884,40.80125
-73.996452,40.756721
-73.951874,40.769123
-73.980652,40.733891
-73.957939,40.779045
-73.991493,40.749786
-73.791656,40.645157
-73.965111,40.757618
-73.971527,40.764256
-73.981117,40.781277
-73.96228,40.7593
-73.962921,40.75808
-73.970482,40.7649
-73.972816,40.764591
-73.969109,40.767113
-73.986031,40.763401
-73.983849,40.754871
-74.001785,40.740925
-73.970772,40.764469
-73.989449,40.741749
-73.983253,40.761024
-73.94857,40.780773
-73.997803,40.720627
-73.980164,40.748466
-73.989235,40.757984
-73.973434,40.757671
-73.983513,40.762276
-73.989342,40.755856
-73.970444,40.752499
-73.97493,40.757309
-73.967339,40.759972
-73.9515,40.773907
-73.98204,40.762085
-73.871284,40.774033
-74.001663,40.74699
-73.959656,40.771076
-73.981834,40.755081
-73.973259,40.764332
-73.961617,40.766193
-73.957809,40.815014
-73.958534,40.772766
-73.989021,40.745907
-73.99131,40.744999
-73.980721,40.764477
-73.98214,40.768986
-73.953705,40.790672
-73.952019,40.769299
-73.958488,40.784176
-73.987007,40.739071
-74.003769,40.711048
-74.003616,40.748257
-73.984489,40.72171
-73.964813,40.774902
-73.984268,40.754082
-73.979691,40.739826
-73.870735,40.773602
-73.988068,40.749355
-73.9972,40.714077
-73.988464,40.754017
-73.953423,40.771301
-73.984741,40.768688
-73.953049,40.783012
-73.98542,40.738445
-73.991699,40.749264
-73.981377,40.666927
-73.97966,40.735592
-73.959366,40.781075
-73.979401,40.753513
-73.99781,40.735184
-73.988274,40.769451
-73.959396,40.782948
-73.95472,40.769707
-73.991249,40.755005
-73.989632,40.752632
-74.010544,40.709583
-74.016167,40.705051
-73.962997,40.773914
-73.971985,40.754799
-73.964996,40.795101
-73.970894,40.749317
-73.783356,40.64864
-74.002579,40.739624
-74.008301,40.730309
-73.953415,40.766987
-74.001434,40.73093
-73.963219,40.798794
-73.961693,40.776962
-73.971573,40.750179
-73.95845,40.772228
-73.987274,40.744804
-74.003204,40.739052
-73.982323,40.756413
-73.980438,40.748325
-73.874847,40.773933
-73.996422,40.74641
-73.991928,40.75473
-73.978477,40.772816
-74.001633,40.741024
-73.975502,40.752041
-73.970284,40.755466
-73.96312,40.769272
-73.985764,40.759686
-74.003632,40.741894
-73.980217,40.738895
-73.960495,40.781361
-73.964806,40.772823
-73.988098,40.753151
-73.986847,40.751217
-74.001503,40.756611
-73.975548,40.781975
-73.97757,40.74242
-74.007973,40.723476
-73.969048,40.785706
-73.981972,40.7635
-73.976074,40.744644
-73.995651,40.759323
-73.956184,40.787388
-73.985535,40.735378
-73.95929,40.777431
-74.004364,40.72554
-73.993126,40.752602
-73.984322,40.742603
-73.992477,40.740799
-73.994247,40.728504
-73.984138,40.740532
-73.970825,40.764069
-73.865959,40.771255
-74.00116,40.725765
-73.980545,40.760014
-73.993431,40.7537
-73.987587,40.754227
-73.986847,40.725498
-73.874634,40.774094
-73.998581,40.735081
-73.976212,40.775986
-73.978447,40.764801
-73.996048,40.753368
-73.962578,40.772949
-73.943726,40.776588
-73.987389,40.74194
-73.924942,40.768585
-73.963959,40.761208
-73.971474,40.763481
-73.982277,40.77264
-73.954018,40.76292
-73.993828,40.73571
-73.999374,40.713867
-73.974281,40.751251
-73.978104,40.752522
-73.976692,40.756306
-73.980576,40.760902
-74.005531,40.748348
-73.974617,40.788193
-73.990211,40.771767
-74.003723,40.747616
-73.989235,40.736267
-73.978455,40.757298
-73.960724,40.775333
-73.959023,40.774807
-73.962135,40.770447
-73.971901,40.745857
-73.987267,40.760803
-73.963318,40.770882
-73.97007,40.75975
-73.97393,40.747723
-74.002426,40.745178
-73.964798,40.755646
-73.98848,40.754112
-74.00206,40.724411
-73.977097,40.789516
-73.982597,40.756943
-73.990845,40.742008
-73.782829,40.644482
-73.994247,40.751007
-73.988503,40.747372
-74.003372,40.718987
-73.988861,40.777737
-73.968948,40.800213
-73.99366,40.741734
-73.948013,40.774696
-73.973656,40.755394
-73.993553,40.754711
-73.979134,40.766685
